Rule Timings

Rules timed: 48

Rule ID                                 Total      Hits         Average
generic-api-key                  2.878064453s       581      4.953639ms
generic-password                 758.813043ms        23     32.991871ms
generic-credential-uri           534.479712ms        84      6.362853ms
azure-storage-account-key        190.775546ms       317       601.815µs
pkcs12-file                       63.822553ms      1116        57.188µs
kubernetes-secret-yaml            39.057043ms        31      1.259904ms
gitea-access-token                14.049793ms        48       292.704µs
cursor-api-key                     9.217915ms        35       263.369µs
ionic-personal-access-token        7.913379ms        59       134.125µs
etsy-open-api-key                  7.399877ms        13       569.221µs
curl-auth-header                   5.835332ms         6       972.555µs
kagi-api-key                       5.683791ms        14       405.985µs
exoscale-api-key                   4.395206ms        34        129.27µs
lob-api-key                         4.04629ms        18       224.793µs
gitlab-pat-routable                3.339749ms         4       834.937µs
gitlab-pat-routable-versioned      3.303167ms         4       825.791µs
private-key                        3.210291ms         3      1.070097ms
box-api-access-token               2.980123ms         9       331.124µs
checkout-secret-key                2.466541ms         9        274.06µs
curl-auth-user                     2.409375ms         6       401.562µs
octopus-deploy-api-key             2.272041ms        18       126.224µs
aws-secret-access-key              1.981218ms       433         4.575µs
npm-access-token                    960.542µs         4       240.135µs
linear-client-secret                766.666µs         3       255.555µs
hashicorp-tf-password               761.916µs        21        36.281µs
generic-username                    667.663µs       476         1.402µs
sentry-access-token                  642.25µs         2       321.125µs
kraken-access-token                 641.334µs         1       641.334µs
azure-client-id                     481.496µs       194         2.481µs
github-fine-grained-pat             459.042µs         4        114.76µs
bitbucket-client-secret             432.792µs         1       432.792µs
stability-ai-api-key                401.792µs         1       401.792µs
github-pat                          323.125µs         6        53.854µs
cohere-api-token                      318.5µs         1         318.5µs
bitbucket-client-id                  298.25µs         1        298.25µs
aws-access-token                    279.542µs         3         93.18µs
gitlab-pat                          278.833µs         4        69.708µs
vercel-api-token                    275.125µs         1       275.125µs
alibaba-sts-access-key-id           169.501µs        33         5.136µs
github-app-token                    137.541µs         3        45.847µs
github-refresh-token                 117.75µs         3         39.25µs
databricks-api-token                    113µs         1           113µs
slack-legacy-bot-token               63.208µs         1        63.208µs
canva-client-id                      59.254µs        52         1.139µs
github-oauth                         55.625µs         2        27.812µs
slack-bot-token                      38.875µs         1        38.875µs
azure-storage-account-name           24.959µs        44           567ns
lark-app-id                           5.499µs         5         1.099µs
